"","extent","id","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5"
"2190","Savernake & Bedwyn",380179,-1.62070610931149,-1.62070610931149,-1.60634331639913,-1.60634331639913,-1.62070610931149,51.3699462909077,51.3789337354725,51.3789337354725,51.3699462909077,51.3699462909077
"2195","Savernake & Bedwyn",378094,-1.64936753914014,-1.64936753914014,-1.63500190352404,-1.63500190352404,-1.64936753914014,51.3790271913719,51.3880146216433,51.3880146216433,51.3790271913719,51.3790271913719
"2196","Savernake & Bedwyn",379136,-1.63499967801467,-1.63499967801467,-1.62063405612564,-1.62063405612564,-1.63499967801467,51.3789833522364,51.3879707825768,51.3879707825768,51.3789833522364,51.3789833522364
"2197","Savernake & Bedwyn",380178,-1.62063185385227,-1.62063185385227,-1.60626624624187,-1.60626624624187,-1.62063185385227,51.3789377515203,51.3879251819325,51.3879251819325,51.3789377515203,51.3789377515203
"2198","Savernake & Bedwyn",381220,-1.60626406810876,-1.60626406810876,-1.59189847532853,-1.59189847532853,-1.60626406810876,51.3788903892345,51.3878778197212,51.3878778197212,51.3788903892345,51.3788903892345
"2205","Savernake & Bedwyn",380177,-1.62055755997427,-1.62055755997427,-1.60618913620944,-1.60618913620944,-1.62055755997427,51.387929198166,51.3969166144265,51.3969166144265,51.387929198166,51.387929198166
"2206","Savernake & Bedwyn",381219,-1.6061869587087,-1.6061869587087,-1.59181854978649,-1.59181854978649,-1.6061869587087,51.3878818207314,51.3968692370665,51.3968692370665,51.3878818207314,51.3878818207314
"2250","Uddens & Cannon Hill",359401,-1.90910790650042,-1.90910790650042,-1.89491664985031,-1.89491664985031,-1.90910790650042,50.8130142290981,50.8220025519408,50.8220025519408,50.8130142290981,50.8130142290981
"2253","Uddens & Cannon Hill",358358,-1.92328700905107,-1.92328700905107,-1.90909302286966,-1.90909302286966,-1.92328700905107,50.8220169021848,50.831005210805,50.831005210805,50.8220169021848,50.8220169021848
"2254","Uddens & Cannon Hill",359400,-1.90909050094519,-1.90909050094519,-1.89489651784634,-1.89489651784634,-1.90909050094519,50.8220067377478,50.8309950463842,50.8309950463842,50.8220067377478,50.8220067377478
"2309","West Wood",394802,-1.42354166264956,-1.42354166264956,-1.40927672446373,-1.40927672446373,-1.42354166264956,51.0544224062676,51.0634103480154,51.0634103480154,51.0544224062676,51.0544224062676
"2310","West Wood",395844,-1.4092749478276,-1.4092749478276,-1.39501003152353,-1.39501003152353,-1.4092749478276,51.0543512067015,51.0633391485617,51.0633391485617,51.0543512067015,51.0543512067015
"2311","West Wood",396886,-1.39500829180305,-1.39500829180305,-1.38074339791579,-1.38074339791579,-1.39500829180305,51.054278265909,51.0632662078842,51.0632662078842,51.054278265909,51.054278265909
"2312","West Wood",394801,-1.4234300460034,-1.4234300460034,-1.40916234368266,-1.40916234368266,-1.4234300460034,51.0634140966351,51.0724020241999,51.0724020241999,51.0634140966351,51.0634140966351
"2313","West Wood",395843,-1.40916056790465,-1.40916056790465,-1.39489288748395,-1.39489288748395,-1.40916056790465,51.0633428743535,51.0723308020306,51.0723308020306,51.0633428743535,51.0633428743535
"2314","West Wood",396885,-1.39489114864308,-1.39489114864308,-1.3806234906579,-1.3806234906579,-1.39489114864308,51.0632699102899,51.0722578380822,51.0722578380822,51.0632699102899,51.0632699102899
"2315","West Wood",397927,-1.3806217896398,-1.3806217896398,-1.36635415462563,-1.36635415462563,-1.3806217896398,51.0631952044616,51.0721831323717,51.0721831323717,51.0631952044616,51.0631952044616
"2316","West Wood",394800,-1.42331837194133,-1.42331837194133,-1.40904790406373,-1.40904790406373,-1.42331837194133,51.072405772902,51.0813936862846,51.0813936862846,51.072405772902,51.072405772902
"2317","West Wood",395842,-1.40904612914464,-1.40904612914464,-1.39477568318536,-1.39477568318536,-1.40904612914464,51.072334527896,51.0813224413909,51.0813224413909,51.072334527896,51.072334527896
"2318","West Wood",396884,-1.39477394522491,-1.39477394522491,-1.3805035217199,-1.3805035217199,-1.39477394522491,51.0722615405524,51.0812494541625,51.0812494541625,51.0722615405524,51.0722615405524
"2608","Puddletown Forest",323983,-2.39094171078758,-2.39094171078758,-2.37677782933638,-2.37677782933638,-2.39094171078758,50.7224671928669,50.7314556588006,50.7314556588006,50.7224671928669,50.7224671928669
"2609","Puddletown Forest",325025,-2.37677559787946,-2.37677559787946,-2.36261170235538,-2.36261170235538,-2.37677559787946,50.7225138611286,50.7315023269885,50.7315023269885,50.7225138611286,50.7225138611286
"2610","Puddletown Forest",326067,-2.36260944808744,-2.36260944808744,-2.34844553900942,-2.34844553900942,-2.36260944808744,50.722558808365,50.7315472741539,50.7315472741539,50.722558808365,50.722558808365
"2612","Puddletown Forest",325024,-2.37684777874858,-2.37684777874858,-2.36268117083485,-2.36268117083485,-2.37684777874858,50.7315063265828,50.7404947782283,50.7404947782283,50.7315063265828,50.7315063265828
"2613","Puddletown Forest",326066,-2.36267891713566,-2.36267891713566,-2.34851229565672,-2.34851229565672,-2.36267891713566,50.7315512881234,50.7405397396979,50.7405397396979,50.7315512881234,50.7315512881234
"2651","Havant & Queens Inclosure",425039,-1.01346025333214,-1.01346025333214,-0.99924840317023,-0.99924840317023,-1.01346025333214,50.8808226912336,50.8898109069722,50.8898109069722,50.8808226912336,50.8808226912336
"2658","Havant & Queens Inclosure",428164,-0.970625788782019,-0.970625788782019,-0.956411314104276,-0.956411314104276,-0.970625788782019,50.8894456084732,50.8984338105951,50.8984338105951,50.8894456084732,50.8894456084732
"2660","Havant & Queens Inclosure",427121,-0.984645112640569,-0.984645112640569,-0.970427862132431,-0.970427862132431,-0.984645112640569,50.8985610487744,50.9075492365027,50.9075492365027,50.8985610487744,50.8985610487744
"2661","Havant & Queens Inclosure",428163,-0.970427611606173,-0.970427611606173,-0.956210399017853,-0.956210399017853,-0.970427611606173,50.898436557386,50.9074247453108,50.9074247453108,50.898436557386,50.898436557386
"2892","Black Wood",408336,-1.2363039119662,-1.2363039119662,-1.22200603957854,-1.22200603957854,-1.2363039119662,51.161256283266,51.1702440565534,51.1702440565534,51.161256283266,51.161256283266
"2894","Black Wood",407293,-1.25045740423395,-1.25045740423395,-1.23615672224932,-1.23615672224932,-1.25045740423395,51.1703399401783,51.1793276991478,51.1793276991478,51.1703399401783,51.1703399401783
"2895","Black Wood",408335,-1.23615546204498,-1.23615546204498,-1.22185480867076,-1.22185480867076,-1.23615546204498,51.1702474642867,51.1792352234019,51.1792352234019,51.1702474642867,51.1702474642867
"2896","Black Wood",409377,-1.22185359636315,-1.22185359636315,-1.20755297214005,-1.20755297214005,-1.22185359636315,51.1701532401652,51.1791409994289,51.1791409994289,51.1701532401652,51.1701532401652
"2897","Black Wood",410419,-1.20755180862066,-1.20755180862066,-1.19325121408938,-1.19325121408938,-1.20755180862066,51.1700572678359,51.1790450272509,51.1790450272509,51.1700572678359,51.1700572678359
"2898","Black Wood",407292,-1.25031165908572,-1.25031165908572,-1.23600819465728,-1.23600819465728,-1.25031165908572,51.179331136505,51.1883188813031,51.1883188813031,51.179331136505,51.179331136505
"2899","Black Wood",408334,-1.23600693561673,-1.23600693561673,-1.22170349982264,-1.22170349982264,-1.23600693561673,51.1792386310855,51.1882263760294,51.1882263760294,51.1792386310855,51.1792386310855
