"","extent","id","area","x","y","lgn.1","lgn.2","lgn.3","lgn.4","lgn.5","lat.1","lat.2","lat.3","lat.4","lat.5","JulesMean","JulesSD","BioMean","BioSD","VisitsMean","VisitsSD"
"36","Blackdown Hills",270816,314168.261685097,-3.11869346077377,50.9425751984357,-3.11869346077377,-3.11869346077377,-3.10446278670372,-3.10446278670372,-3.11869346077377,50.9425751984357,50.9515633166757,50.9515633166757,50.9425751984357,50.9425751984357,17.4378175872786,1.2920462821221,42.7806470825067,0.787649292341516,30,3.44618991749879
"37","Blackdown Hills",271858,371604.034450898,-3.1044629155422,50.9427106900583,-3.1044629155422,-3.1044629155422,-3.0902322000973,-3.0902322000973,-3.1044629155422,50.9427106900583,50.9516988080845,50.9516988080845,50.9427106900583,50.9427106900583,16.3396242262862,1.34139158400546,47.9127474829482,0.901443474253661,34,2.45720485773753
"38","Blackdown Hills",272900,463455.81666521,-3.09023226098402,50.9428444479751,-3.09023226098402,-3.09023226098402,-3.07600150469337,-3.07600150469337,-3.09023226098402,50.9428444479751,50.9518325657901,50.9518325657901,50.9428444479751,50.9428444479751,17.2256894983131,1.2415486663792,40.8413872993731,1.02167851543215,57,3.31828102044957
"39","Blackdown Hills",273942,377465.207863981,-3.0760014985061,50.9429764721548,-3.0760014985061,-3.0760014985061,-3.06177070189883,-3.06177070189883,-3.0760014985061,50.9429764721548,50.9519645897614,50.9519645897614,50.9429764721548,50.9429764721548,16.0995918234821,1.33702858493895,42.5703601298155,1.12681506307414,12,3.45755658558759
"40","Blackdown Hills",274984,71944.7320297835,-3.06177062951538,50.9431067625667,-3.06177062951538,-3.06177062951538,-3.04753979312063,-3.04753979312063,-3.06177062951538,50.9431067625667,50.9520948799677,50.9520948799677,50.9431067625667,50.9431067625667,10.3168209765758,2.50860274479339,42.1522760093477,0.931178037252721,71,2.68575969067287
"41","Blackdown Hills",276026,41237.3866408225,-3.04753965541885,50.9432353191804,-3.04753965541885,-3.04753965541885,-3.03330877976579,-3.03330877976579,-3.04753965541885,50.9432353191804,50.9522234363785,50.9522234363785,50.9432353191804,50.9432353191804,10.6278475305668,2.32140346049223,38.9206142429807,1.10763410151783,37,3.30123199800124
"42","Blackdown Hills",277068,212907.194798614,-3.03330857762359,50.9433621419659,-3.03330857762359,-3.03330857762359,-3.01907766324141,-3.01907766324141,-3.03330857762359,50.9433621419659,50.9523502589638,50.9523502589638,50.9433621419659,50.9433621419659,10.2227013047978,2.3536432345769,37.7779796454908,1.05342786715581,40,3.09292825291584
"43","Blackdown Hills",278110,137710.933842166,-3.01907739753674,50.9434872308937,-3.01907739753674,-3.01907739753674,-3.00484644495465,-3.00484644495465,-3.01907739753674,50.9434872308937,50.9524753476941,50.9524753476941,50.9434872308937,50.9434872308937,10.7934257106843,2.03325596305202,39.2641128256003,0.907056784890542,20,3.10601223463043
"44","Blackdown Hills",247891,102307.966636151,-3.4320111872226,50.9481453357838,-3.4320111872226,-3.4320111872226,-3.41777881194428,-3.41777881194428,-3.4320111872226,50.9481453357838,50.9571334452313,50.9571334452313,50.9481453357838,50.9481453357838,15.9743643769447,1.11691479634726,41.157821451621,1.13700286142864,99,3.99237043928184
"45","Blackdown Hills",248933,15329.5165994489,-3.41778066063441,50.948319015553,-3.41778066063441,-3.41778066063441,-3.40354823230281,-3.40354823230281,-3.41778066063441,50.948319015553,50.9573071247264,50.9573071247264,50.948319015553,50.948319015553,14.3669256778528,1.34608979115582,37.0386305054224,0.862960143130683,26,2.94889698631522
